timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:08:19.753, 73, 46.83 W, 2424 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:20.753, 72, 46.87 W, 2424 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:21.754, 73, 46.61 W, 2424 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:22.755, 73, 46.61 W, 2424 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:23.756, 71, 31.11 W, 2431 MHz, [N/A], 0 %, [N/A]
2026/07/19 12:08:24.756, 72, 46.24 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:25.757, 72, 46.63 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:26.757, 71, 46.40 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:27.757, 72, 46.54 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:28.758, 67, 37.35 W, 2411 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:29.758, 71, 42.70 W, 2444 MHz, [N/A], 94 %, [N/A]
2026/07/19 12:08:30.759, 71, 46.15 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:31.759, 71, 46.24 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:08:32.759, 70, 46.23 W, 2444 MHz, [N/A], 95 %, [N/A]
