timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:44:46.901, 73, 47.00 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:47.902, 68, 37.08 W, 2418 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:48.902, 72, 52.60 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:49.903, 72, 46.49 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:50.903, 72, 46.43 W, 2437 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:51.903, 72, 46.80 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:52.903, 71, 46.60 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:53.904, 71, 46.72 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:54.904, 71, 46.72 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:55.905, 74, 44.22 W, 2418 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:44:56.905, 71, 46.10 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:57.905, 70, 46.15 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:58.906, 71, 46.10 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:59.906, 71, 46.45 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:45:00.906, 70, 46.43 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:45:01.907, 70, 46.40 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:45:02.907, 70, 46.29 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:45:03.908, 77, 31.23 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:45:04.908, 80, 81.68 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:05.909, 77, 81.99 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:06.909, 75, 78.17 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:07.909, 79, 78.02 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:08.910, 79, 77.77 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:09.910, 78, 78.75 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:10.911, 78, 82.43 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:11.912, 79, 80.28 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:12.912, 74, 77.57 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:13.913, 79, 78.94 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:14.914, 82, 77.72 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:15.915, 80, 81.88 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:16.915, 80, 82.05 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:17.916, 80, 78.97 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:18.916, 74, 77.91 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:19.917, 78, 78.55 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:20.918, 78, 78.59 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:21.919, 77, 82.35 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:22.919, 76, 80.71 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:23.920, 79, 78.33 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:24.920, 79, 78.50 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:25.921, 75, 77.73 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:26.922, 75, 80.00 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:27.922, 80, 83.19 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:28.923, 79, 79.28 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:29.923, 79, 78.47 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:30.924, 76, 78.41 W, 2379 MHz, [N/A], 96 %, [N/A]
