timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 11:46:31.349, 74, 47.11 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:32.349, 73, 46.94 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:33.350, 73, 46.99 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:34.350, 73, 46.91 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:35.350, 73, 46.95 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:36.350, 72, 46.90 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:37.351, 68, 41.36 W, 2431 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:38.351, 72, 47.76 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:39.352, 72, 46.20 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:40.352, 72, 46.39 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:41.352, 71, 46.45 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:42.352, 71, 46.47 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:43.353, 71, 46.42 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:44.353, 71, 46.46 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:45.353, 71, 46.27 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:46.354, 71, 44.28 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:47.354, 70, 45.84 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:48.355, 70, 46.04 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:49.355, 70, 45.98 W, 2450 MHz, [N/A], 94 %, [N/A]
2026/07/19 11:46:50.355, 70, 45.99 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:51.356, 70, 45.43 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:52.356, 70, 46.16 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:53.357, 65, 36.81 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:54.357, 78, 59.23 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:55.358, 78, 81.50 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:56.358, 75, 80.02 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:57.358, 75, 77.74 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:58.359, 77, 77.78 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:59.359, 80, 76.61 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:00.360, 79, 81.69 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:01.360, 78, 81.92 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:02.361, 79, 78.51 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:03.361, 78, 78.38 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:04.362, 77, 77.42 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:47:05.362, 77, 77.70 W, 2385 MHz, [N/A], 96 %, [N/A]
